Template,Degree Type,First,v2,v3,v5,v6,Area of Interest (Pre-select),Select Your Degree (Pre-select),,,
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-instructional-design,https://www.uagc.edu/success/degree/ba-instructional-design-v2,https://www.uagc.edu/success/degree/ba-instructional-design-v3,https://www.uagc.edu/success/degree/ba-instructional-design-v5,https://www.uagc.edu/success/degree/ba-instructional-design-v6,Education,BA in Instructional Design,https://www.uagc.edu/success/degree/ba-health-human-services,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-liberal-arts,https://www.uagc.edu/success/degree/ba-liberal-arts-v2,https://www.uagc.edu/success/degree/ba-liberal-arts-v3,https://www.uagc.edu/success/degree/ba-liberal-arts-v5,https://www.uagc.edu/success/degree/ba-liberal-arts-v6,Liberal Arts,BA in Liberal Arts,https://www.uagc.edu/success/degree/ba-health-wellness,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-marketing,https://www.uagc.edu/success/degree/ba-marketing-v2,https://www.uagc.edu/success/degree/ba-marketing-v3,https://www.uagc.edu/success/degree/ba-marketing-v5,https://www.uagc.edu/success/degree/ba-marketing-v6,Business,BA in Marketing,https://www.uagc.edu/success/degree/ba-history,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-operations-management-analysis,https://www.uagc.edu/success/degree/ba-operations-management-analysis-v2,https://www.uagc.edu/success/degree/ba-operations-management-analysis-v3,https://www.uagc.edu/success/degree/ba-operations-management-analysis-v5,https://www.uagc.edu/success/degree/ba-operations-management-analysis-v6,Business,BS in Nursing (RN to BSN),https://www.uagc.edu/success/degree/ba-homeland-security-emergency-management,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-organizational-management,https://www.uagc.edu/success/degree/ba-organizational-management-v2,https://www.uagc.edu/success/degree/ba-organizational-management-v3,https://www.uagc.edu/success/degree/ba-organizational-management-v5,https://www.uagc.edu/success/degree/ba-organizational-management-v6,Business,BA in Operations Management and Analysis,https://www.uagc.edu/success/degree/ba-human-resource-management,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-project-management,https://www.uagc.edu/success/degree/ba-project-management-v2,https://www.uagc.edu/success/degree/ba-project-management-v3,https://www.uagc.edu/success/degree/ba-project-management-v5,https://www.uagc.edu/success/degree/ba-project-management-v6,Business,BA in Project Management,https://www.uagc.edu/success/degree/ba-instructional-design,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-psychology,https://www.uagc.edu/success/degree/ba-psychology-v2,https://www.uagc.edu/success/degree/ba-psychology-v3,https://www.uagc.edu/success/degree/ba-psychology-v5,https://www.uagc.edu/success/degree/ba-psychology-v6,Social & Behavioral Science,BA in Psychology,https://www.uagc.edu/success/degree/ba-journalism-mass-communication,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-social-criminal-justice,https://www.uagc.edu/success/degree/ba-social-criminal-justice-v2,https://www.uagc.edu/success/degree/ba-social-criminal-justice-v3,https://www.uagc.edu/success/degree/ba-social-criminal-justice-v5,https://www.uagc.edu/success/degree/ba-social-criminal-justice-v6,Criminal Justice ,BA in Social and Criminal Justice,https://www.uagc.edu/success/degree/ba-law-enforcement-administration,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-sociology,https://www.uagc.edu/success/degree/ba-sociology-v2,https://www.uagc.edu/success/degree/ba-sociology-v3,https://www.uagc.edu/success/degree/ba-sociology-v5,https://www.uagc.edu/success/degree/ba-sociology-v6,Social & Behavioral Science,BA in Sociology,https://www.uagc.edu/success/degree/ba-liberal-arts,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/bs-computer-software-technology,https://www.uagc.edu/success/degree/bs-computer-software-technology-v2,https://www.uagc.edu/success/degree/bs-computer-software-technology-v3,https://www.uagc.edu/success/degree/bs-computer-software-technology-v5,https://www.uagc.edu/success/degree/bs-computer-software-technology-v6,Information Technology ,BS in Computer Software Technology,https://www.uagc.edu/success/degree/ba-library-science-media,Bachelor,Program Specific
